grams_per_day,mean_all_cause_rr,lower_all_cause_rr,upper_all_cause_rr
105,2.300232858,2.001846622,2.736643996
106,2.316807881,2.014408188,2.771462859
107,2.333382904,2.02327882,2.813800887
108,2.349957927,2.032424116,2.854698431
109,2.366532949,2.041132198,2.896822721
110,2.383107972,2.050259478,2.948220541
111,2.399682995,2.058003924,2.980004179
112,2.416258018,2.065089596,3.013132655
113,2.432833041,2.068461715,3.039620703
114,2.449408064,2.077068279,3.084564412
115,2.465983087,2.083149538,3.117848695
116,2.482558109,2.088997516,3.163510236
117,2.499133132,2.094883139,3.215341992
118,2.515708155,2.102883136,3.264801347
119,2.532283178,2.115212066,3.285376004
120,2.548858201,2.123600088,3.32488306
121,2.564397857,2.127340085,3.380240099
122,2.579937513,2.132857534,3.427349611
123,2.59547717,2.136001551,3.479521999
124,2.611016826,2.137333318,3.508273222
125,2.626556482,2.144927884,3.541875367
126,2.642096138,2.150194809,3.573394121
127,2.657635795,2.152831172,3.622863434
128,2.673175451,2.159112504,3.678337488
129,2.688715107,2.166858172,3.733811541
130,2.704254763,2.170806564,3.789285594
131,2.71979442,2.173194625,3.844759647
132,2.735334076,2.179797232,3.897869055
133,2.750873732,2.18413834,3.947099134
134,2.766413388,2.189928338,3.996094337
135,2.781953045,2.192707855,4.041151906
136,2.797492701,2.197036809,4.080282173
137,2.813032357,2.20319699,4.119412439
138,2.828572013,2.208372402,4.158542706
139,2.84411167,2.210259788,4.197672973
140,2.859651326,2.21401505,4.23680324
141,2.875190982,2.216056333,4.275933506
142,2.890730639,2.216865521,4.322990756
143,2.906270295,2.218605728,4.374927521
144,2.921809951,2.223093736,4.426864286
145,2.937349607,2.221030481,4.478801051
146,2.952889264,2.218848601,4.530737816
147,2.96842892,2.218383078,4.582674581
148,2.983968576,2.219753584,4.634611345
149,2.999508232,2.222390424,4.68654811
150,3.015047889,2.2281309,4.738484875
